Validator,PT_VERSION,2.6.0
Validator,ROCM_VERSION,6.3.1.0-40-ce2be3b
Validator,HIPBLASLT_VERSION,1000-b4e5042b
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmTunableOp_Half_TN,tn_4096_112_4096,Gemm_Rocblas_1140853628,0.0622324
GemmTunableOp_Half_TN,tn_27392_120_4096,Gemm_Rocblas_1140853629,0.449603
GemmTunableOp_Half_TN,tn_4096_176_13696,Gemm_Rocblas_1140853620,0.306994
GemmTunableOp_Half_TN,tn_27392_176_4096,Gemm_Rocblas_1140853645,0.664013
GemmTunableOp_Half_TN,tn_27392_192_4096,Gemm_Rocblas_1140853645,0.675573
GemmTunableOp_Half_TN,tn_4096_208_13696,Gemm_Rocblas_1140853515,0.400795
GemmTunableOp_Half_TN,tn_4096_224_13696,Gemm_Rocblas_1140853515,0.405995
GemmTunableOp_Half_TN,tn_27392_224_4096,Gemm_Rocblas_1140853583,0.778861
GemmTunableOp_Half_TN,tn_4096_294_4096,Gemm_Rocblas_1140853587,0.145025
GemmTunableOp_Half_TN,tn_4096_224_4096,Gemm_Rocblas_1140853646,0.127841
GemmTunableOp_Half_TN,tn_27392_24_4096,Gemm_Rocblas_1140853599,0.334769
GemmTunableOp_Half_TN,tn_27392_73_4096,Gemm_Rocblas_1140853628,0.429239
GemmTunableOp_Half_TN,tn_4096_24_4096,Gemm_Rocblas_1140853596,0.0349592
GemmTunableOp_Half_TN,tn_4096_324_13696,Gemm_Rocblas_1140853550,0.474627
GemmTunableOp_Half_TN,tn_4096_25_13696,Gemm_Hipblaslt_TN_148112,0.182116
GemmTunableOp_Half_TN,tn_4096_25_4096,Gemm_Rocblas_1140853615,0.0344152
GemmTunableOp_Half_TN,tn_4096_26_13696,Gemm_Hipblaslt_TN_148127,0.180236
GemmTunableOp_Half_TN,tn_27392_513_4096,Default,1.79643
GemmTunableOp_Half_TN,tn_4096_26_4096,Gemm_Rocblas_1140853598,0.0336552
GemmTunableOp_Half_TN,tn_27392_21_4096,Gemm_Rocblas_1140853599,0.33468
GemmTunableOp_Half_TN,tn_151552_27_4096,Gemm_Rocblas_1140853599,1.80845
GemmTunableOp_Half_TN,tn_27392_40_4096,Gemm_Rocblas_1140853633,0.344634
GemmTunableOp_Half_TN,tn_4096_27_13696,Gemm_Hipblaslt_TN_148112,0.182812
GemmTunableOp_Half_TN,tn_27392_27_4096,Gemm_Rocblas_1140853599,0.335641
GemmTunableOp_Half_TN,tn_4096_141_4096,Gemm_Rocblas_1140853519,0.0813506
GemmTunableOp_Half_TN,tn_27392_28_4096,Gemm_Rocblas_1140853614,0.335832
GemmTunableOp_Half_TN,tn_4096_243_4096,Gemm_Rocblas_1140853647,0.129858
GemmTunableOp_Half_TN,tn_4096_29_13696,Gemm_Hipblaslt_TN_148180,0.178892
GemmTunableOp_Half_TN,tn_4096_329_4096,Gemm_Rocblas_1140853587,0.138523
GemmTunableOp_Half_TN,tn_27392_29_4096,Gemm_Rocblas_1140853599,0.334944
GemmTunableOp_Half_TN,tn_4096_56_4096,Gemm_Rocblas_1140853632,0.0461522
GemmTunableOp_Half_TN,tn_27392_30_4096,Gemm_Rocblas_1140853614,0.335665
GemmTunableOp_Half_TN,tn_4096_30_4096,Gemm_Rocblas_1140853611,0.0335592
GemmTunableOp_Half_TN,tn_27392_544_4096,Default,1.79796
GemmTunableOp_Half_TN,tn_151552_31_4096,Gemm_Rocblas_1140853614,1.81632
GemmTunableOp_Half_TN,tn_27392_486_4096,Gemm_Rocblas_1140853649,1.7505
GemmTunableOp_Half_TN,tn_27392_31_4096,Gemm_Rocblas_1140853614,0.335192
GemmTunableOp_Half_TN,tn_4096_33_13696,Gemm_Rocblas_1140853647,0.192028
GemmTunableOp_Half_TN,tn_27392_33_4096,Gemm_Rocblas_1140853629,0.342712
GemmTunableOp_Half_TN,tn_4096_33_4096,Gemm_Rocblas_1140853647,0.044759
GemmTunableOp_Half_TN,tn_4096_132_13696,Gemm_Rocblas_1140853520,0.295051
GemmTunableOp_Half_TN,tn_151552_34_4096,Gemm_Rocblas_1140853645,1.82825
GemmTunableOp_Half_TN,tn_4096_176_4096,Gemm_Rocblas_1140853520,0.0812244
GemmTunableOp_Half_TN,tn_27392_34_4096,Gemm_Rocblas_1140853648,0.343272
GemmTunableOp_Half_TN,tn_4096_34_4096,Gemm_Rocblas_1140853646,0.043255
GemmTunableOp_Half_TN,tn_4096_380_13696,Gemm_Rocblas_1140853550,0.479824
GemmTunableOp_Half_TN,tn_151552_38_4096,Gemm_Rocblas_1140853645,1.83449
GemmTunableOp_Half_TN,tn_151552_39_4096,Gemm_Rocblas_1140853653,1.82634
GemmTunableOp_Half_TN,tn_27392_39_4096,Gemm_Rocblas_1140853628,0.343896
GemmTunableOp_Half_TN,tn_27392_174_4096,Gemm_Rocblas_1140853628,0.649473
GemmTunableOp_Half_TN,tn_4096_42_13696,Gemm_Rocblas_1140853594,0.19518
GemmTunableOp_Half_TN,tn_27392_548_4096,Default,1.80247
GemmTunableOp_Half_TN,tn_27392_45_4096,Gemm_Rocblas_1140853648,0.34448
GemmTunableOp_Half_TN,tn_27392_836_4096,Default,2.79801
GemmTunableOp_Half_TN,tn_4096_46_13696,Gemm_Rocblas_1140853594,0.19638
GemmTunableOp_Half_TN,tn_151552_88_4096,Gemm_Rocblas_1140853645,2.57199
GemmTunableOp_Half_TN,tn_27392_46_4096,Gemm_Rocblas_1140853628,0.34564
GemmTunableOp_Half_TN,tn_151552_228_4096,Gemm_Rocblas_1140853638,4.29085
GemmTunableOp_Half_TN,tn_27392_161_4096,Gemm_Rocblas_1140853645,0.634727
GemmTunableOp_Half_TN,tn_27392_317_4096,Gemm_Rocblas_1140853649,1.03507
GemmTunableOp_Half_TN,tn_4096_46_4096,Gemm_Rocblas_1140853646,0.043759
GemmTunableOp_Half_TN,tn_4096_49_13696,Gemm_Rocblas_1140853593,0.195812
GemmTunableOp_Half_TN,tn_27392_554_4096,Default,1.8161
GemmTunableOp_Half_TN,tn_4096_494_4096,Gemm_Rocblas_1140853587,0.2213
GemmTunableOp_Half_TN,tn_151552_14_4096,Gemm_Rocblas_1140853628,1.78148
GemmTunableOp_Half_TN,tn_27392_50_4096,Gemm_Rocblas_1140853648,0.346072
GemmTunableOp_Half_TN,tn_151552_51_4096,Gemm_Rocblas_1140853653,1.83664
GemmTunableOp_Half_TN,tn_4096_51_13696,Gemm_Rocblas_1140853594,0.196788
GemmTunableOp_Half_TN,tn_4096_51_4096,Gemm_Rocblas_1140853646,0.043199
GemmTunableOp_Half_TN,tn_4096_54_13696,Gemm_Rocblas_1140853593,0.197492
GemmTunableOp_Half_TN,tn_27392_55_4096,Gemm_Rocblas_1140853645,0.347888
GemmTunableOp_Half_TN,tn_4096_55_4096,Gemm_Rocblas_1140853632,0.049063
GemmTunableOp_Half_TN,tn_151552_58_4096,Gemm_Rocblas_1140853653,1.8191
GemmTunableOp_Half_TN,tn_4096_342_13696,Gemm_Rocblas_1140853550,0.515547
GemmTunableOp_Half_TN,tn_4096_58_13696,Gemm_Rocblas_1140853594,0.197652
GemmTunableOp_Half_TN,tn_4096_488_13696,Gemm_Rocblas_1140853557,0.707692
GemmTunableOp_Half_TN,tn_27392_58_4096,Gemm_Rocblas_1140853648,0.348608
GemmTunableOp_Half_TN,tn_4096_58_4096,Gemm_Rocblas_1140853647,0.043271
GemmTunableOp_Half_TN,tn_151552_59_4096,Gemm_Rocblas_1140853637,1.84322
GemmTunableOp_Half_TN,tn_151552_60_4096,Gemm_Rocblas_1140853653,1.82007
GemmTunableOp_Half_TN,tn_27392_60_4096,Gemm_Rocblas_1140853648,0.349488
GemmTunableOp_Half_TN,tn_4096_60_4096,Gemm_Rocblas_1140853647,0.0439592
GemmTunableOp_Half_TN,tn_27392_63_4096,Gemm_Rocblas_1140853648,0.348624
GemmTunableOp_Half_TN,tn_4096_63_4096,Gemm_Rocblas_1140853652,0.044863
GemmTunableOp_Half_TN,tn_4096_414_4096,Gemm_Rocblas_1140853648,0.196451
GemmTunableOp_Half_TN,tn_4096_64_4096,Gemm_Rocblas_1140853647,0.0429992
GemmTunableOp_Half_TN,tn_27392_65_4096,Gemm_Rocblas_1140853645,0.422159
GemmTunableOp_Half_TN,tn_151552_66_4096,Default,2.28544
GemmTunableOp_Half_TN,tn_4096_193_13696,Gemm_Rocblas_1140853515,0.403149
GemmTunableOp_Half_TN,tn_27392_66_4096,Gemm_Rocblas_1140853645,0.426319
GemmTunableOp_Half_TN,tn_151552_68_4096,Default,2.30648
GemmTunableOp_Half_TN,tn_4096_68_4096,Gemm_Rocblas_1140853648,0.0609746
GemmTunableOp_Half_TN,tn_151552_69_4096,Gemm_Hipblaslt_TN_148165,2.34228
GemmTunableOp_Half_TN,tn_4096_328_13696,Gemm_Rocblas_1140853550,0.474434
GemmTunableOp_Half_TN,tn_4096_69_13696,Gemm_Hipblaslt_TN_148168,0.211779
GemmTunableOp_Half_TN,tn_151552_70_4096,Default,2.33477
GemmTunableOp_Half_TN,tn_4096_36_13696,Gemm_Rocblas_1140853593,0.19426
GemmTunableOp_Half_TN,tn_151552_156_4096,Gemm_Hipblaslt_TN_148174,3.2565
GemmTunableOp_Half_TN,tn_4096_525_4096,Gemm_Rocblas_1140853629,0.28869
GemmTunableOp_Half_TN,tn_4096_450_13696,Gemm_Rocblas_1140853557,0.62774
GemmTunableOp_Half_TN,tn_4096_446_4096,Gemm_Rocblas_1140853645,0.199851
GemmTunableOp_Half_TN,tn_27392_377_4096,Default,1.15368
GemmTunableOp_Half_TN,tn_4096_349_13696,Gemm_Rocblas_1140853550,0.476354
GemmTunableOp_Half_TN,tn_27392_299_4096,Gemm_Rocblas_1140853649,1.13291
GemmTunableOp_Half_TN,tn_4096_505_4096,Gemm_Rocblas_1140853557,0.220451
GemmTunableOp_Half_TN,tn_27392_404_4096,Gemm_Rocblas_1140853649,1.51503
GemmTunableOp_Half_TN,tn_4096_321_4096,Gemm_Rocblas_1140853587,0.136179
GemmTunableOp_Half_TN,tn_27392_518_4096,Default,1.77536
GemmTunableOp_Half_TN,tn_4096_524_4096,Gemm_Rocblas_1140853629,0.290234
GemmTunableOp_Half_TN,tn_4096_466_13696,Gemm_Rocblas_1140853557,0.626495
GemmTunableOp_Half_TN,tn_27392_248_4096,Gemm_Rocblas_1140853552,0.821636
GemmTunableOp_Half_TN,tn_27392_96_4096,Gemm_Rocblas_1140853645,0.433943
GemmTunableOp_Half_TN,tn_27392_466_4096,Default,1.561
GemmTunableOp_Half_TN,tn_4096_369_13696,Gemm_Rocblas_1140853550,0.477888
GemmTunableOp_Half_TN,tn_4096_203_4096,Gemm_Rocblas_1140853646,0.122224
GemmTunableOp_Half_TN,tn_4096_481_13696,Gemm_Rocblas_1140853557,0.71098
GemmTunableOp_Half_TN,tn_4096_348_13696,Gemm_Rocblas_1140853550,0.490919
GemmTunableOp_Half_TN,tn_27392_409_4096,Gemm_Rocblas_1140853649,1.45725
